order_id,customer_name,customer_email,order_date,order_status,product_tags,order_value,shipping_cost,country,is_returning_customer,num_items,promo_code,review_score
#101657,,alex.kim646@outlook.com,2023/06/05,DELIVERED,"['fashion', 'books', 'sports']",$385.27,15.1,US,yes,5.0,,4.0
#100128,Riley Chen,riley.chen107@yahoo.com,2024/04/08,processing,"['sports', 'toys', 'garden', 'electronics']",$169.56,6.17,us,TRUE,9.0,SAVE10 ,4.0
#100707,Jordan Lee,jordan.lee424@yahoo.com,03-14-2024,Shipped,books|kitchen,46.97,14.42,US,TRUE,4.0,,3.0
#101799,Taylor Swift,taylor.swift581@yahoo.com,2023/12/04,cancelled,toys|sports|fashion|electronics,343.84,15.05,FR ,0,3.0,welcome,4.0
#101649,Quinn Davis,quinn.davis171@gmail.com,2024-05-22,,"['garden', 'sports']",$104.08,26.83,USA,,9.0,,5.0
#100420,,jordan.lee123@outlook.com,2022-07-31,Canceled,"['sports', 'fashion']",,14.9,UK,0,1.0,,5.0
#101289,Quinn Davis,QuinnDavis@,04-07-2022,CANCELLED,"kitchen,fashion,sports,home",$454.77,2.84,FR ,1,7.0,SAVE10,4.0
#100923,Alex Kim,alex.kim53@gmail.com,2024/06/10,Processing,books,$399.01,6.99,Canada,1,8.0,SAVE10,4.0
#100414,Taylor Swift,taylor.swift479@yahoo.com,12/10/2023,pending,"['kitchen', 'home', 'garden']",,3.41,france,0,11.0,,6.0
#100453,Alex Kim,alex.kim913@yahoo.com,2022/05/20,Canceled,['toys'],,22.93,france,TRUE,6.0,welcome,4.0
#101532,Riley Chen,riley.chen600@gmail.com,2022-10-13,Processing,"['garden', 'kitchen', 'electronics']",$207.07,8.95,US,yes,9.0,WELCOME,2.0
#101356,Sam Jordan,sam.jordan489@outlook.com,07-04-2022,returned,"['fashion', 'home', 'toys']",$38.19,23.58,USA,TRUE,9.0,,2.0
#100393,Morgan Walsh,morgan.walsh908@gmail.com,2024/03/27,Returned,"['electronics', 'fashion', 'sports', 'kitchen']",$242.18,3.59,AU,True,0.24554109052394144,,2.0
#100237,,quinn.davis828@yahoo.com,2024/02/18,DELIVERED,"['electronics', 'sports', 'home']",$85.16,17.92,US,1,9.0,,1.0
#100210,Riley Chen,riley.chen191@outlook.com,2023/04/13,DELIVERED,['books'],$504.57,22.18,AU,No,3.0,SAVE10,4.0
#100211,Riley Chen,riley.chen670@outlook.com,05/10/2022,processing,['books'],$565.14,29.53,FR,False,8.0,SUMMER20,2.0
#100701,Taylor Swift,taylor.swift681@gmail.com,2023/06/30,Processing,"['home', 'sports']",$263.39,21.76,Australia,True,1.0,WELCOME,2.0
#101851,Quinn Davis,quinn.davis481@outlook.com,2024/03/17,PENDING,"['home', 'kitchen']",€373.45,15.3,United States,N,5.0,,5.0
#101681,Taylor Swift,taylor.swift471@yahoo.com,2022/01/19,canceled,books,€119.59,26.34,UK,0,2.0,SAVE10 ,6.0
#100443,Riley Chen,riley.chen369@outlook.com,14/09/2023,cancelled,['kitchen'],139.17,15.47,CA,0,5.0,welcome,5.0
#101607,Morgan Walsh,morgan.walsh811@outlook.com,2022-12-19,Canceled,"['garden', 'toys', 'sports', 'home']",$212.28,5.59,France,FALSE,1.0,SAVE10,3.0
#101053,Riley Chen,riley.chen612@yahoo.com,11-10-2022,pending,['garden'],500.35,21.39,Canada,N,9.0,N/A,6.0
#100532,Quinn Davis,quinn.davis797@gmail.com,2022/09/13,delivered,"['garden', 'toys']",$133.26,6.29,Germany,Y,3.0,SUMMER20,6.0
#101541,Casey Morgan,casey.morgan996@gmail.com,2023-01-02,,"['fashion', 'kitchen', 'garden']",,15.49,Germany,Y,3.0,,5.0
#100306,Sam Jordan,sam.jordan69@outlook.com,25/09/2022,DELIVERED,"['toys', 'home']",$49.48,20.06,Germany,yes,1.0,WELCOME,4.0
#101896,Taylor Swift,taylor.swift906@gmail.com,2024/04/29,canceled,"electronics,garden",€475.59,23.68,UK,,8.0,WELCOME,2.0
#101514,Casey Morgan,casey.morgan161@gmail.com,09-23-2022,processing,"['home', 'books', 'toys']",448.42,None,CA,1,6.0,SAVE10 ,4.0
#100808,Alex Kim,alex.kim153@outlook.com,2023/05/27,processing,electronics,,7.07,Canada,0,2.0,N/A,2.0
#100069,Casey Morgan,casey.morgan577@gmail.com,02-08-2024,CANCELLED,"['home', 'electronics', 'garden']",$441.02,27.92,France,True,9.0,welcome,5.0
#100220,Morgan Walsh,morgan.walsh186@gmail.com,2024-02-11,,"home,sports",$299.0,22.08,AU,0,3.0,N/A,3.0
#101922,Riley Chen,riley.chen609@gmail.com,08-29-2022,,['toys'],$25.48,7.91,AU,yes,2.0,N/A,1.0
#101455,Sam Jordan,sam.jordan34@gmail.com,02/06/2022,,"home,sports,kitchen",$162.78,18.71,United Kingdom,no,2.0,SUMMER20,5.0
#100471,Riley Chen,riley.chen733@yahoo.com,2022-09-14,Returned,"['electronics', 'home', 'fashion', 'kitchen']",293.81,28.08,United Kingdom,Yes,1.0,SAVE10,2.0
#100368,Riley Chen,riley.chen250@outlook.com,08-02-2023,PENDING,"['kitchen', 'garden']",$378.2,16.59,FR ,Yes,7.0,SAVE10 ,3.0
#100239,,riley.chen205@gmail.com,27/01/2022,cancelled,"['toys', 'fashion', 'kitchen']",$367.56,29.91,Australia,False,8.0,,3.0
#100231,Sam Jordan,sam.jordan971@gmail.com,2022-04-05,,"['home', 'kitchen']",€244.31,13.75,US,0,4.0,,6.0
#101284,Jordan Lee,jordan.lee356@outlook.com,2022-10-01,Processing,fashion,$261.22,0.83,United Kingdom,0,11.0,SUMMER20,4.0
#100196,Jordan Lee,jordan.lee550@yahoo.com,11-15-2023,cancelled,"['garden', 'home', 'electronics', 'sports']",€415.13,20.38,FR ,yes,9.0,WELCOME,3.0
#100099,Alex Kim,alex.kim54@gmail.com,24/12/2022,Shipped,"electronics,home,garden",€229.44,21.82,US,1,1.0,SAVE10,3.0
#101781,Taylor Swift,taylor.swift699@gmail.com,04/01/2022,DELIVERED,home,,17.92,FR,Yes,11.0,SAVE10,3.0
#101673,Morgan Walsh,morgan.walsh672@gmail.com,2022-07-04,returned,"electronics,sports,kitchen",$315.17,18.42,CA,0,0.07643661320942159,SAVE10,3.0
#100746,Quinn Davis,quinn.davis471@outlook.com,04/02/2024,Canceled,"['books', 'kitchen', 'garden']",$133.85,15.13,France,1,4.0,SUMMER20,4.0
#100366,Morgan Walsh,morgan.walsh769@gmail.com,16/03/2024,delivered,"fashion,garden",€167.7,21.1,UK,Y,4.0,SUMMER20,4.0
#100741,Casey Morgan,casey.morgan606@outlook.com,09/06/2023,Shipped,"['garden', 'sports', 'toys', 'fashion']",€245.23,14.68,U.S.,1,3.0,welcome,4.0
#101492,Alex Kim,alex.kim443@yahoo.com,2022/09/05,CANCELLED,"['sports', 'electronics', 'kitchen', 'garden']",189.95,7.75,france,Yes,1.0,SUMMER20,3.0
#101629,Casey Morgan,casey.morgan384@yahoo.com,05-29-2023,Processing,['toys'],$569.9,free,GB,0,6.0,,2.0
#101719,Casey Morgan,casey.morgan453@yahoo.com,2023/08/27,processing,"['sports', 'kitchen']",$347.5,14.89,FR,False,11.0,SAVE10 ,5.0
#101975,,,24/07/2022,canceled,['home'],183.37,28.54,GB,,2.0,N/A,5.0
#100251,Alex Kim,alex.kim937@gmail.com,28/05/2023,DELIVERED,"['toys', 'electronics']",510.3,7.81,Australia,no,1.0,,4.0
#100889,Morgan Walsh,morgan.walsh795@outlook.com,2022/04/10,Shipped,['electronics'],€310.69,3.88,Australia,yes,4.0,WELCOME,0.0
#101835,Jordan Lee,jordan.lee346@yahoo.com,04-18-2023,cancelled,"['home', 'kitchen', 'electronics', 'sports']",$480.91,19.7,Germany,Yes,9.0,SAVE10 ,4.0
#100514,Jordan Lee,JordanLee@,2024-02-21,cancelled,"['sports', 'electronics', 'toys', 'kitchen']",$452.61,28.01,DE,1,7.0,SAVE10,3.0
#101983,Alex Kim,alex.kim388@yahoo.com,2023-06-17,pending,"['home', 'books']",$566.98,free,Canada,0,6.0,SAVE10,1.0
#100637,Riley Chen,riley.chen529@outlook.com,2022/06/27,pending,garden|kitchen|toys,€92.67,,France,1,9.0,SUMMER20,4.0
#101103,Sam Jordan,sam.jordan30@yahoo.com,25/06/2023,SHIPPED,"['garden', 'home']",,27.2,UK,1,2.0,,3.0
#101716,Taylor Swift,taylor.swift356@outlook.com,2022-03-05,shipped,"['home', 'kitchen', 'electronics', 'garden']",€232.75,None,canada,FALSE,7.0,SUMMER20,5.0
#100925,Taylor Swift,taylor.swift807@outlook.com,03/06/2024,processing,"['sports', 'kitchen']",24.81,6.67,france,yes,6.0,WELCOME,5.0
#101723,Morgan Walsh,morgan.walsh743@outlook.com,2022/06/10,delivered,"['kitchen', 'books', 'sports']",$535.81,2.5,france,0,0.46471958928139917,SAVE10,3.0
#101157,Morgan Walsh,morgan.walsh393@yahoo.com,02/02/2024,Processing,fashion|books,$385.59,0.02,france,False,11.0,,4.0
#101526,Alex Kim,alex.kim330@yahoo.com,2022-06-27,SHIPPED,"garden,kitchen,sports",$151.32,21.51,AU,FALSE,10.0,,5.0
#101461,Taylor Swift,taylor.swift383@gmail.com,11-30-2022,Canceled,"['kitchen', 'sports', 'home']",,21.98,CA,1,7.0,welcome,4.0
#100538,Casey Morgan,casey.morgan357@outlook.com,2023-09-23,Canceled,garden|home|kitchen|sports,$230.63,NULL,Germany,1,1.0,WELCOME,5.0
#101036,Morgan Walsh,,2022/12/27,Pending,"['kitchen', 'home']",,23.57,DE,True,5.0,WELCOME,5.0
#100792,Quinn Davis,quinn.davis186@gmail.com,2023-03-09,cancelled,books|toys|sports|fashion,$275.57,3.87,canada,1,5.0,WELCOME,4.0
#101909,Sam Jordan,SamJordan@,04/03/2024,PENDING,"['kitchen', 'fashion', 'garden', 'toys']",477.7,,AU,1,5.0,,4.0
#100836,Jordan Lee,jordan.lee496@outlook.com,2023-09-03,Delivered,"['electronics', 'books']",$206.84,1.72,france,TRUE,5.0,WELCOME,4.0
#101068,Taylor Swift,taylor.swift435@yahoo.com,10-25-2022,delivered,kitchen,530.98,7.73,United States,False,10.0,SAVE10 ,4.0
#100485,Taylor Swift,taylor.swift166@yahoo.com,13/12/2023,shipped,['sports'],$13.67,11.22,FR,No,11.0,welcome,1.0
#101991,Jordan Lee,jordan.lee90@yahoo.com,2023-12-26,shipped,"['kitchen', 'fashion', 'toys']",€377.26,19.98,Australia,1,9.0,,4.0
#100495,Sam Jordan,sam.jordan645@yahoo.com,2022-02-10,shipped,['fashion'],$242.17,11.83,france,no,10.0,SUMMER20,2.0
#101362,Sam Jordan,,2022/10/13,Shipped,"['fashion', 'home']",$596.62,NULL,FR ,FALSE,4.0,SUMMER20,1.0
#101604,,casey.morgan354@yahoo.com,01-31-2022,pending,"['home', 'books', 'sports', 'garden']",€180.86,27.72,AU,Y,8.0,SAVE10 ,4.0
#101432,Quinn Davis,quinn.davis664@gmail.com,2023-02-17,processing,"['fashion', 'books', 'electronics', 'garden']",165.91,16.64,France,FALSE,1.0,WELCOME,0.0
#100654,Sam Jordan,,2022/04/13,delivered,books|toys|sports,,10.02,CA,True,4.0,SUMMER20,3.0
#100859,Taylor Swift,TaylorSwift@,2023-02-20,Pending,"['fashion', 'garden']",€143.35,7.62,FR,Yes,9.0,SUMMER20,5.0
#101512,Morgan Walsh,morgan.walsh342@gmail.com,16/12/2022,delivered,books|garden,$537.49,21.16,canada,Yes,8.0,,3.0
#101490,Sam Jordan,sam.jordan104@yahoo.com,28/07/2023,processing,"['fashion', 'books', 'home']",392.3,18.86,United States,0,8.0,SAVE10,6.0
#100504,Riley Chen,riley.chen906@yahoo.com,2022-12-13,,"['electronics', 'toys', 'kitchen', 'books']",459.69,17.57,GB,yes,6.0,,3.0
#100433,Alex Kim,alex.kim713@gmail.com,04-25-2023,Shipped,"['home', 'sports', 'kitchen', 'garden']",$124.07,8.48,CA,FALSE,9.0,WELCOME,5.0
#100374,Alex Kim,alex.kim989@outlook.com,2022/05/17,returned,"['kitchen', 'garden']",$570.89,4.82,Australia,No,8.0,welcome,6.0
#101054,Riley Chen,riley.chen849@yahoo.com,15/07/2023,Processing,"['kitchen', 'garden']",,28.52,US,FALSE,5.0,,4.0
#100710,Casey Morgan,casey.morgan299@yahoo.com,2022-09-12,pending,"['sports', 'home']",$535.37,27.62,GB,yes,3.0,SUMMER20,5.0
#100921,Alex Kim,alex.kim333@yahoo.com,2022-07-20,DELIVERED,"['toys', 'books']",,2.05,Australia,FALSE,7.0,SAVE10 ,5.0
#100774,Alex Kim,alex.kim505@yahoo.com,14/01/2024,pending,"['fashion', 'toys', 'books', 'sports']",210.14,5.69,France,0,4.0,SAVE10,4.0
#101801,Riley Chen,RileyChen@,2023-01-28,cancelled,"['fashion', 'electronics', 'home']",$441.2,14.27,US,FALSE,2.0,,5.0
#101029,Jordan Lee,jordan.lee832@gmail.com,2023/10/26,shipped,['books'],457.57,n/a,AU,Yes,0.446559288092485,SAVE10,5.0
#101827,Taylor Swift,taylor.swift370@yahoo.com,2022/09/03,Pending,['home'],,19.69,UK,yes,3.0,,3.0
#101625,Jordan Lee,jordan.lee102@yahoo.com,2023/02/26,Returned,['electronics'],€192.16,None,France,Yes,2.0,SUMMER20,0.0
#100416,Alex Kim,alex.kim285@outlook.com,2022-10-03,returned,"['fashion', 'home', 'books', 'toys']",346.89,19.01,US,N,5.0,welcome,3.0
#101594,Morgan Walsh,morgan.walsh183@outlook.com,16/12/2023,PENDING,"['toys', 'home']",$546.65,1.64,Australia,No,10.0,welcome,2.0
#101177,Quinn Davis,quinn.davis601@outlook.com,04-08-2024,Delivered,"garden,fashion,home,sports",$508.16,22.08,FR ,Yes,11.0,,5.0
#101552,Casey Morgan,casey.morgan468@yahoo.com,2024/06/07,PENDING,books|garden|kitchen,$318.02,N/A,DE,No,8.0,N/A,5.0
#101452,Sam Jordan,sam.jordan898@gmail.com,04/05/2023,Processing,"['home', 'kitchen']",$227.99,,AU,True,3.0,,5.0
#100115,Jordan Lee,jordan.lee900@gmail.com,07-29-2022,canceled,electronics|toys|home,,22.01,US,no,1.0,N/A,3.0
#100324,Morgan Walsh,morgan.walsh808@yahoo.com,2022-04-07,Pending,"['garden', 'home', 'toys']",205.99,11.37,United States,TRUE,7.0,N/A,5.0
#101924,Morgan Walsh,morgan.walsh357@gmail.com,03/03/2024,cancelled,['sports'],167.76,16.05,AU,0,10.0,WELCOME,3.0
#100438,Sam Jordan,sam.jordan378@gmail.com,05-30-2023,processing,"fashion,toys",$168.76,6.47,Canada,True,10.0,welcome,4.0
#100298,Casey Morgan,casey.morgan296@gmail.com,03-22-2024,cancelled,books,370.69,18.44,FR,N,11.0,SAVE10,5.0
#101709,Taylor Swift,taylor.swift388@outlook.com,2023/06/18,,electronics,,14.77,AU,TRUE,1.0,SAVE10 ,4.0
#101403,Quinn Davis,,23/05/2022,returned,"['sports', 'toys', 'fashion']",116.32,14.41,United Kingdom,1,0.27207079756216235,SAVE10 ,4.0
#100585,Taylor Swift,taylor.swift943@gmail.com,2022/01/14,shipped,"fashion,electronics,toys",$94.71,1.23,USA,1,1.0,N/A,4.0
#100352,Taylor Swift,taylor.swift508@gmail.com,2022-05-03,CANCELLED,"['home', 'books', 'fashion', 'sports']",$386.99,1.08,Germany,1,0.8415900018975261,,0.0
#101846,Taylor Swift,taylor.swift28@yahoo.com,2022-11-26,cancelled,"home,electronics",107.93,15.36,FR ,yes,11.0,WELCOME,4.0
#100543,Taylor Swift,taylor.swift349@outlook.com,11-11-2023,processing,['toys'],$269.09,n/a,UK,,2.0,WELCOME,3.0
#100507,Quinn Davis,quinn.davis926@gmail.com,2022-12-11,Pending,['books'],$586.98,26.18,AU,0,7.0,,3.0
#100554,Taylor Swift,taylor.swift466@gmail.com,24/07/2023,SHIPPED,electronics,€130.86,28.63,Australia,0,1.0,welcome,2.0
#101739,Casey Morgan,casey.morgan322@gmail.com,05-01-2023,DELIVERED,['garden'],$5.59,20.08,CA,1,6.0,SAVE10,5.0
#101290,Morgan Walsh,morgan.walsh881@outlook.com,2023-12-03,Shipped,"['home', 'fashion', 'sports']",$143.19,18.01,U.S.,True,11.0,,1.0
#100264,Jordan Lee,jordan.lee773@outlook.com,2022-11-25,PENDING,"['books', 'sports', 'toys']",$364.75,21.38,AU,,8.0,N/A,4.0
#101617,Casey Morgan,casey.morgan799@outlook.com,2022/07/19,pending,"['books', 'sports', 'kitchen']",$9.37,14.5,United States,1,11.0,SAVE10,2.0
#100120,Alex Kim,alex.kim32@yahoo.com,2023/01/18,Returned,sports|books|home|electronics,$484.7,0.48,france,no,5.0,SUMMER20,5.0
#101381,Quinn Davis,,2022/10/24,canceled,"['fashion', 'electronics', 'toys', 'sports']",€252.95,15.07,GB,FALSE,3.0,,5.0
