PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
74,1,1,"Allen, Miss. Charles",female,25.6,0,0,9D1V59,187.7301,,C
75,0,1,"Adams, Mr. Jessica",male,47.0,1,0,NZFRJJUE,0.0,,S
76,1,2,"Edwards, Miss. John",female,2.3,1,0,OIU1VDU,12.8684,,S
77,0,2,"Thomas, Mr. Jack",male,11.1,0,0,YPDELW0,36.7706,,C
78,0,3,"Edwards, Mr. Jennifer",male,14.6,0,0,LPB2MSQ,24.3468,,S
79,0,3,"Wright, Mr. Elizabeth",male,28.1,0,1,G8E7ED,10.9499,,S
80,0,3,"Jones, Mr. Linda",male,23.9,0,0,861RDVS0,11.4881,C100,C
81,0,3,"Robinson, Mr. Avery",male,48.6,0,0,CV47U,17.6029,,C
82,1,2,"Miller, Mr. Charles",male,42.4,0,0,QSWINT,20.8912,,S
83,0,3,"Evans, Miss. Avery",female,35.9,0,5,21HOT8M7,19.4059,,C
84,0,1,"Nelson, Mr. Evelyn",male,31.0,0,0,WZ2ZYNP,20.4856,,S
85,0,1,"Campbell, Mr. James",male,34.5,0,0,4X9YOUW,125.0715,,Q
86,0,1,"Allen, Rev. Jessica",male,16.9,0,1,JIHCY8WC,127.5862,,S
87,0,3,"Lopez, Mr. James",male,41.0,0,0,6BWP7S,25.8346,,S
88,0,3,"Gonzalez, Mr. Patricia",male,13.4,1,0,03SZ2SZ,15.0469,,S
89,1,1,"Evans, Mr. Ava",male,40.7,1,0,MAYJ38,107.6919,,C
90,1,3,"Davis, Mrs. Susan",female,45.6,0,0,JX1SSPLU,11.7378,,Q
91,1,1,"Phillips, Mrs. Robert",female,32.0,0,0,HBCUJQ8C,169.9924,,S
92,1,3,"Gonzalez, Mrs. Liam",female,26.5,0,0,HQYGD,0.4094,,S
93,0,2,"Young, Mr. Noah",male,34.6,0,0,2BWUD,32.6196,A113,S
94,0,2,"King, Mr. Ryan",male,1.0,1,1,KSEY2AT,12.3829,,S
95,1,2,"Jones, Mrs. Madison",female,33.2,0,0,A0TLRYX,19.3589,D34,C
96,0,3,"Davis, Mr. Emma",male,27.4,0,0,B2BXMCYT,14.8255,,S
97,0,2,"Wilson, Mr. Ava",male,28.3,0,1,NKWH3Y9,32.2396,,Q
98,0,1,"Nelson, Mr. Robert",male,38.9,0,0,VU4P7,99.6365,,Q
99,1,1,"Brown, Miss. Emma",female,28.0,0,1,4S7HJ,93.4568,,S
100,0,3,"Allen, Mr. Harper",male,13.0,0,0,TFXOFSZ,18.6806,,S
101,0,3,"Garcia, Miss. Mary",female,27.0,2,0,7VJ14,8.6931,,Q
102,1,3,"Nelson, Miss. Jack",female,29.9,0,0,2HFH5KL6,4.1837,,C
103,0,2,"Edwards, Mr. Isabella",male,30.6,0,0,OKKV0,3.8837,,S
104,1,3,"Lee, Miss. Aiden",female,31.3,0,1,BXTXQ1,7.0801,E54,S
105,1,3,"Anderson, Mr. Joseph",male,,0,1,10RLUWU,13.2071,,S
106,0,3,"Harris, Mr. Ethan",male,,0,4,MEP5Z10,14.6275,E7,C
107,0,2,"Scott, Mr. Karen",male,31.5,0,0,IZCIBPFN,20.5694,,S
108,1,2,"Baker, Mrs. Owen",female,47.1,1,1,BROPM,14.6996,,S
109,0,1,"Sanchez, Mr. Mia",male,4.7,0,0,AR4FF2,161.332,,C
110,0,3,"Young, Mr. Emily",male,31.5,0,2,J2LVUG1,40.585,,S
111,0,3,"Sanchez, Mr. David",male,20.8,0,0,H1W43L7,4.522,,S
112,0,1,"Anderson, Rev. Ryan",male,,0,1,MVTIH,151.7092,,S
113,0,2,"Anderson, Mr. David",male,16.3,0,0,5YT1I8EV,14.5618,,C
114,0,3,"Parker, Mr. Mary",male,,1,0,6IXFGO,17.6311,,S
115,1,1,"Hall, Mr. Olivia",male,54.8,0,0,KYU9KI6L,50.5153,A29,S
116,1,3,"Turner, Miss. Ethan",female,11.3,0,0,33C4W,22.2696,,Q
117,1,3,"Sanchez, Mr. Jack",male,,1,0,TIGEFU,2.9896,,S
118,0,3,"Harris, Mrs. Logan",female,,0,3,RAP040NX,22.9997,,S
119,0,2,"Hall, Mr. Charlotte",male,53.2,0,0,OTBA2,13.5712,,C
120,1,3,"Scott, Miss. Jack",female,,0,0,EVK98,8.1622,,S
121,0,3,"Martinez, Mr. Sophia",male,28.6,0,0,K5JI9YD5,30.7008,,Q
122,0,3,"Clark, Mr. Ava",male,,0,0,YPA2Y,19.2304,,C
123,1,1,"Baker, Miss. Barbara",female,15.8,1,0,W169UAMW,41.0988,,S
124,0,2,"Jones, Mr. Aiden",male,25.7,1,2,EO6L7,6.5129,,S
125,1,1,"Brown, Mr. Thomas",male,63.4,1,4,KI31W9DN,84.4152,,S
126,0,3,"Wilson, Miss. David",female,,5,0,C9ULIAV,19.7249,,S
127,1,2,"Young, Mrs. Karen",female,17.1,1,0,BOXPXZ8V,27.2026,F62,S
128,0,1,"Taylor, Mr. Evelyn",male,38.1,1,0,KFDD3BR,107.9545,,S
129,0,1,"Gonzalez, Mr. Joseph",male,,1,1,YC4PAE4,78.8808,,Q
130,1,3,"Miller, Miss. Charles",female,,1,0,1M8JI1LS,22.3554,D101,S
131,1,1,"Thomas, Mrs. Sarah",female,43.3,1,0,F7F9JPJ,89.9117,,C
132,0,3,"Smith, Miss. Evelyn",female,45.2,2,3,AGSY847,15.7664,,S
133,0,3,"Mitchell, Mr. Ella",male,,0,1,1M68SEBR,14.5096,A78,S
134,0,2,"Clark, Mrs. Sofia",female,22.4,0,0,T6TX16V,19.9703,,S
135,1,3,"Wilson, Mr. Linda",male,26.7,0,0,CXGNTCZ,12.0092,,S
136,1,1,"Walker, Mrs. Charles",female,39.5,1,0,SMMOBH,161.4132,,S
137,1,3,"Parker, Mr. Emily",male,34.5,0,0,ERFTXQ1J,8.4231,,S
138,1,3,"Perez, Mrs. Elizabeth",female,23.5,1,0,JSCJZ2J,16.7144,,C
139,1,3,"Phillips, Mr. Patricia",male,6.3,1,0,KK9XNQ,13.2344,,S
140,0,1,"Lee, Mr. Thomas",male,30.6,3,0,TN9KPAR,113.59,A73,S
141,1,3,"White, Miss. Sofia",female,44.1,0,0,9RFZX8SA,20.2942,,C
142,0,3,"Martin, Mr. Madison",male,12.2,1,0,Y2EQQJ4G,14.8387,,S
143,0,3,"Martin, Mrs. Michael",female,37.9,1,0,I9EUG,0.0,,S
144,0,3,"Campbell, Dr. Sofia",male,,2,2,TAIVAR,32.698,,S
145,0,3,"Miller, Mr. David",male,39.5,1,0,HFRZAM9,11.4392,,S
146,0,2,"Roberts, Mr. Scarlett",male,41.2,0,2,L0RO2B,28.3242,,S
147,0,2,"Campbell, Mr. Amelia",male,,0,0,N507EG6,54.4351,,S
148,0,3,"Roberts, Mr. Michael",male,6.4,0,0,3YRBCZ,7.6275,,S
149,0,2,"Sanchez, Mr. Charles",male,21.5,3,1,AH6WZ,5.9902,,S
150,0,1,"Roberts, Mr. Mason",male,41.4,0,0,UJPT960,19.3728,,S
151,1,3,"Johnson, Mrs. Olivia",female,21.4,1,0,3Y3CAPBM,17.8883,,Q
152,0,3,"Mitchell, Miss. Sofia",female,19.3,1,0,8XBW0,11.8175,,S
153,1,1,"Robinson, Miss. Scarlett",female,3.5,0,0,599DQ1,118.121,,S
154,0,3,"Evans, Mr. Mary",male,,0,0,RLPZA2,13.8118,,Q
155,0,1,"Jones, Mr. Owen",male,40.6,0,0,E1SLQSH,0.0,,S
156,0,3,"Parker, Dr. Sarah",male,39.8,1,0,WNQWSP8,16.7192,,S
157,1,2,"Hall, Mrs. Lucas",female,42.5,0,0,NZ3DV2CM,40.32,,S
158,1,3,"Garcia, Miss. Ava",female,,0,0,79VBA30G,15.7749,F87,C
159,0,3,"Robinson, Mr. Harper",male,25.6,1,0,F518E,15.2464,,S
160,1,3,"Johnson, Mrs. Charles",female,26.7,0,0,7T1VAPJ,19.6323,,S
161,1,1,"Jones, Dr. Logan",male,23.0,1,0,V7BLY,102.4291,D129,Q
162,0,3,"Walker, Dr. Michael",male,,0,0,EGA9R7,20.8115,,S
163,0,1,"Mitchell, Rev. Sebastian",male,36.8,0,0,M7JG2TP,0.0,,S
164,0,1,"Garcia, Mr. David",male,22.5,0,0,8K661FD,86.3987,,S
165,1,3,"Hernandez, Miss. Jackson",female,35.5,0,0,ZO9AN,7.1818,E3,S
166,1,2,"Lopez, Mrs. Mary",female,14.8,0,0,5EO586,41.4171,,C
167,0,3,"Perez, Mr. James",male,,1,0,FDORSBY,24.1723,,Q
168,0,3,"Smith, Dr. Robert",male,19.7,0,5,D6MIR8,2.3404,F95,S
169,1,2,"Sanchez, Miss. Charlotte",female,36.0,0,2,DYX580XM,6.9655,D80,S
170,1,3,"Lewis, Mrs. Susan",female,,0,0,798X82IB,26.8095,C68,S
171,0,2,"Edwards, Dr. Evelyn",male,34.4,0,0,P5KM3SYL,48.2676,,S
172,0,3,"Martin, Rev. Mason",male,30.3,2,0,R7RD085,10.9304,E115,C
173,0,2,"Lewis, Dr. Mary",male,29.2,0,1,9M4W9,16.4999,,S
174,1,3,"Jones, Mr. Mia",male,28.2,4,1,VYF1F3,22.1625,,S
175,1,1,"Campbell, Mrs. Scarlett",female,20.9,0,0,GRGCB,63.8193,C9,C
176,0,1,"Perez, Rev. Olivia",male,,0,0,RBEWL1,0.0,,Q
177,0,2,"Thompson, Miss. Owen",female,49.7,0,0,B8Y3RA5U,36.8791,,S
178,0,3,"Clark, Mr. Madison",male,27.5,0,1,FHNPP,13.8095,,C
179,0,3,"Roberts, Rev. Mary",male,18.0,1,1,7YW5JUXK,7.2319,E133,S
180,0,3,"Moore, Miss. Charlotte",female,21.8,0,0,ICL3NH5F,4.0353,,S
181,0,3,"Taylor, Mr. Karen",male,44.4,0,0,6LAP0,27.189,C48,S
182,0,3,"Thomas, Mr. Michael",male,,0,0,DKWXWM5C,21.4128,,C
183,1,3,"Green, Mrs. Theodore",female,36.8,0,0,7YPNPFHW,5.3737,,S
184,1,2,"Anderson, Mrs. Elizabeth",female,,2,2,RRC58IL,9.0403,,S
185,0,3,"Jones, Mr. Robert",male,37.0,3,0,AD6GU50,9.6987,E80,C
186,0,3,"Wilson, Mr. Elizabeth",male,20.0,1,0,FZO8XA,0.5897,,S
187,0,2,"Collins, Mr. Mason",male,25.4,1,0,0Z0IIH,17.7165,,S
188,1,1,"Turner, Mr. Evelyn",male,42.6,1,0,A3KRIP1,108.5967,,S
189,0,3,"Evans, Dr. Mason",male,41.2,0,1,UCGYU,2.5221,F120,C
190,0,2,"Hernandez, Mr. Ava",male,15.3,1,0,IHPE5JZ,24.6377,E55,S
191,1,3,"Harris, Mrs. Michael",female,17.0,0,1,XHKOE,0.0,,C
192,1,2,"Lewis, Mrs. Emma",female,30.5,1,0,1MUXW,19.4192,,S
193,1,1,"Walker, Mrs. David",female,,3,0,9WMK2PU,38.0369,,S
194,0,3,"Johnson, Mrs. Charlotte",female,2.2,0,0,IIBCWSKH,3.3717,,C
195,1,1,"Young, Mrs. Joseph",female,32.9,1,0,DZ6QRTD,109.2094,F33,S
196,1,1,"Johnson, Miss. Jayden",female,9.7,2,0,NQA5MC2,121.7287,,S
197,1,3,"Hernandez, Miss. Karen",female,20.1,0,0,SB9HIZLD,19.3457,,S
198,0,3,"Moore, Mr. Thomas",male,23.9,0,0,J5F60IU,10.988,,S
199,0,1,"King, Mr. Ryan",male,23.1,2,0,C3Q8HZ8M,140.7673,,S
200,0,2,"Phillips, Mr. Mia",male,21.5,3,0,OVWR7,0.0,,Q
201,0,3,"Scott, Mr. William",male,29.1,0,0,X87MK0S,0.0,,S
202,1,3,"Gonzalez, Mr. Ava",male,21.5,0,1,ZX6N1I,18.9338,,S
203,0,3,"Walker, Mr. Susan",male,8.5,1,2,D1D5832R,2.6914,,S
204,1,1,"Robinson, Rev. Ella",male,39.9,0,0,9T3ZZ,81.346,,S
205,0,1,"Davis, Mr. Amelia",male,39.5,0,1,PPVZHI,185.0843,,S
206,0,1,"Evans, Mr. Ella",male,40.8,0,0,SYHZA,96.5535,,Q
207,1,1,"Campbell, Miss. Owen",female,7.4,0,6,YYZM90G7,68.4258,,S
208,1,3,"Thomas, Mrs. Ella",female,,0,0,L8IXY8U,5.5445,,C
209,0,1,"Garcia, Mr. Sarah",male,,0,0,K2I91WCR,221.1058,,S
210,1,3,"Wilson, Mr. David",male,14.6,0,0,7N36D,25.8755,,S
211,0,3,"Sanchez, Mr. Mia",male,29.1,1,1,KDJT4YIK,31.3327,,Q
212,1,3,"Johnson, Mrs. Noah",female,,0,0,0SACC8,13.455,,S
213,1,1,"Garcia, Miss. Thomas",female,54.8,0,0,R1GBJH2,0.0,,S
214,0,3,"Wright, Mr. Mason",male,55.9,0,0,W6QILF6V,9.8137,,C
215,1,3,"Davis, Mrs. Jack",female,5.7,0,0,KZLQX9UZ,25.0864,,Q
216,0,3,"Brown, Dr. Karen",male,63.9,0,1,P78L6Q0,2.636,,S
217,0,1,"Johnson, Mr. Sofia",male,16.2,0,0,15PZS2G,127.5331,,S
218,1,1,"Green, Miss. Ryan",female,42.7,0,0,VQNZMB8,71.4324,,S
219,0,3,"White, Mr. James",male,42.6,0,0,FI3LKR,0.6625,,Q
220,0,2,"Moore, Rev. Charles",male,15.1,0,0,UB4PH,41.2282,,S
221,0,2,"Sanchez, Mr. Scarlett",male,35.9,0,0,GLEY9R,18.5447,,S
222,1,3,"Wilson, Mr. Sophia",male,27.5,2,1,C3MKD,17.6964,C52,S
223,1,3,"Walker, Miss. Lucas",female,,1,3,C6HCZMZ,22.971,E39,S
224,1,3,"Lewis, Mrs. Ava",female,32.2,0,0,5L17T,7.4855,,S
225,0,2,"King, Mr. Patricia",male,45.7,0,0,LYAFXA,10.0719,,S
226,0,3,"Sanchez, Mr. Olivia",male,,0,0,XJ79BG,7.7839,,S
227,1,1,"King, Miss. Liam",female,,0,0,BR8VLAOT,60.8227,,C
228,0,3,"Anderson, Mr. Ethan",male,44.3,0,0,TOL86,11.8867,,S
229,1,3,"Davis, Miss. Linda",female,,0,0,VRCLANR,14.123,,S
230,1,1,"Walker, Miss. William",female,39.2,0,0,MJZFEZV,53.8551,,S
231,0,1,"Williams, Rev. Linda",male,,0,0,06X4GT82,104.9965,C107,S
232,1,2,"Harris, Miss. Amelia",female,14.4,1,0,7LA2OB,43.2485,,S
233,0,3,"Sanchez, Mr. Ryan",male,21.1,1,1,C947G,28.3058,,S
234,0,3,"Perez, Mr. Abigail",male,20.3,1,0,UKY8QB4G,1.5464,,S
235,0,3,"Wright, Mr. Mason",male,40.0,0,0,W2255,13.8006,A91,S
236,0,3,"Collins, Mr. Logan",male,,0,2,KZOZQ,26.0142,,S
237,1,3,"Perez, Miss. Evelyn",female,26.8,0,0,AV53MY,25.4449,,S
238,1,3,"Harris, Mrs. Evelyn",female,49.0,1,0,WO7ZC,8.3772,,S
239,1,1,"Thomas, Miss. Richard",female,48.2,0,0,0HKGL76T,85.2874,,S
240,1,1,"King, Miss. Theodore",female,,0,0,N8H194,194.5217,,S
241,0,3,"Mitchell, Mr. Aiden",male,,0,0,6H9DAHV,7.0607,E122,S
242,0,3,"Jackson, Mr. Jackson",male,51.1,2,0,WDZIS,19.7754,D119,S
243,1,1,"Brown, Miss. Ryan",female,28.1,0,0,8NVRV,232.8856,D100,S
244,1,3,"Smith, Mrs. Charles",female,30.8,0,0,C3XJD5,18.1887,,C
245,0,3,"Sanchez, Mr. Linda",male,24.2,0,0,618XGB,19.2299,,S
246,0,3,"King, Dr. Logan",male,16.5,0,0,PW6FW,20.3937,,S
247,1,3,"Miller, Mr. Ava",male,8.4,0,0,RCNV0,0.0,,S
248,0,2,"Johnson, Mr. Theodore",male,37.9,0,0,SJ67822C,30.4603,,S
249,1,2,"Wright, Mrs. Avery",female,,0,1,OJCH660,5.7758,,C
250,1,2,"Lopez, Mr. Susan",male,71.8,1,0,YEYBK,27.6546,,S
251,0,3,"Lee, Miss. Charles",female,13.8,0,0,7U7A0,36.7814,F53,S
252,1,3,"Hernandez, Mrs. Evelyn",female,11.4,1,0,Q5B7BN,10.2141,E59,Q
253,1,3,"Green, Mrs. Emma",female,,0,0,SVX21,4.8581,,S
254,0,2,"Adams, Mr. Joseph",male,50.4,1,2,QGFJVB89,14.0224,,S
255,0,1,"Williams, Mr. David",male,29.9,0,0,2VR0U,140.4145,,S
256,1,3,"Jones, Miss. Emily",female,,0,0,UEJ9GV,8.0784,,Q
257,0,3,"Perez, Mrs. Mary",female,3.2,0,2,QIUUWL,26.7396,,S
258,0,1,"Allen, Mr. Robert",male,19.5,2,0,0ZUKTT8,0.0,,S
259,1,1,"Davis, Mrs. John",female,14.0,0,0,L0WPAZ,0.0,,S
260,0,3,"Davis, Mr. Scarlett",male,2.5,1,0,7SSHQAS,18.9839,F133,S
261,1,1,"Scott, Miss. Mary",female,30.6,1,0,2X2X2PV,89.785,C96,S
262,0,3,"Harris, Mr. Liam",male,1.0,0,0,UU2ILSX,29.9384,,S
263,0,2,"Garcia, Mr. Michael",male,10.5,0,0,H3TP5PF,4.5279,,S
264,0,1,"Allen, Mr. Harper",male,,0,0,N6SIN68E,0.0,,S
265,0,3,"Brown, Mr. Mary",male,17.4,0,1,4XGVPE9V,32.5327,,S
266,0,1,"Taylor, Mr. Mary",male,34.5,0,0,M4PRF,117.2057,,S
267,0,2,"Green, Mr. Liam",male,,0,0,98DTY,8.5539,,C
268,0,1,"Taylor, Mr. Avery",male,41.5,0,0,U5EAQJ1M,84.9642,,C
269,1,1,"Brown, Mrs. Jennifer",female,39.5,0,0,T8CTOB,0.0,,Q
270,0,1,"Evans, Mr. Sophia",male,,1,0,6G1ZZQLC,35.6436,,S
271,1,1,"Taylor, Mrs. Mason",female,29.0,0,1,GTFYW,52.2301,C95,S
272,1,1,"Robinson, Miss. Abigail",female,33.2,1,0,DS3O3K,52.543,,S
273,0,1,"Perez, Mr. Victoria",male,36.2,0,0,X558D,89.8485,,C
274,1,3,"Collins, Mr. Thomas",male,31.0,0,0,U89KN,13.7839,D78,S
275,1,3,"Mitchell, Mrs. Owen",female,23.4,0,0,6G93C4X,14.8027,,S
276,0,2,"Jackson, Mrs. Linda",female,24.3,0,0,H9BCQXGJ,43.8554,,S
277,0,2,"Roberts, Mr. Evelyn",male,,0,2,EGF87W,21.948,F67,C
278,1,3,"Smith, Mrs. Olivia",female,,2,0,EBN9R3N,11.6955,,C
279,0,3,"Jackson, Mr. Mary",male,27.7,0,0,3Q000Y,12.5077,,C
280,0,3,"Martinez, Mr. Theodore",male,19.7,0,4,QKSLBNSS,8.1727,,S
281,1,1,"Walker, Miss. Avery",female,19.7,0,0,0KXJ9X,71.4906,,S
282,0,1,"Phillips, Mr. Elizabeth",male,,0,2,P1P2F38,0.0,D113,Q
283,1,1,"Nelson, Mrs. John",female,42.7,0,0,I8OZG,119.5058,,S
284,1,2,"Collins, Mr. Sofia",male,30.1,0,0,Z6PCOX,45.5795,,S
285,1,3,"Miller, Mrs. Charlotte",female,16.9,0,2,41FSUQ78,3.5827,,S
286,0,2,"Adams, Mr. John",male,40.3,0,0,84ZN1,20.5323,A73,S
287,0,1,"Baker, Rev. Ryan",male,21.2,0,0,6Z8PCR9,27.9113,,S
288,0,2,"Harris, Mr. Ella",male,9.3,8,0,ZWVCODM,0.0,,S
289,0,3,"Jones, Mr. Ava",male,43.3,0,0,2IXIH8V,7.6845,E37,C
290,1,1,"Garcia, Miss. Richard",female,21.5,0,0,FBRDV,96.983,,C
291,1,3,"Campbell, Dr. Joseph",male,23.3,2,0,WHFDDC,0.0,,S
292,0,1,"Moore, Mr. Noah",male,29.6,0,0,2VJ712,0.0,,S
293,0,3,"Sanchez, Mr. John",male,45.0,0,0,08L4EK6E,2.6929,F45,S
294,0,1,"Evans, Mr. Karen",male,29.3,1,0,MDITWYE,0.0,,S
295,0,3,"Lewis, Miss. Elizabeth",female,12.2,2,0,DAOWNB,0.0,,S
296,1,3,"Anderson, Mr. Jennifer",male,,1,0,PM3V9,0.592,E116,C
297,1,3,"Lewis, Miss. Michael",female,22.2,0,0,NDA7R,29.1032,,S
298,0,3,"Taylor, Mr. Sarah",male,,3,0,JB6XZTO,22.1344,,S
299,1,3,"Martinez, Miss. Karen",female,29.0,0,0,1IMLS8,27.5094,,C
300,0,3,"Mitchell, Mr. Charles",male,1.0,4,0,TH7LM5JQ,28.2649,A16,Q
301,0,3,"Thompson, Mr. Sofia",male,34.0,1,0,LWB9PYSP,20.4029,,S
302,1,1,"Scott, Miss. Mia",female,,2,0,AJNNJX,214.2819,,S
303,1,3,"Baker, Mrs. David",female,51.1,0,0,69XOXE3T,1.5902,,S
304,1,3,"Perez, Miss. Jayden",female,54.6,0,6,PKMBA,25.6142,,S
305,0,3,"Perez, Mr. Ella",male,14.7,0,2,K9JL64,13.7102,D133,S
306,0,3,"Martinez, Mr. Ava",male,41.8,0,0,DDQUM,40.4343,,S
307,0,2,"Walker, Mrs. John",female,18.9,0,2,HWNEX,23.1795,,S
308,0,3,"Adams, Mr. Jack",male,32.1,2,1,R74B6BR,34.7019,D68,S
