Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
30,CA-2021-196690,01/07/2021,01/10/2021,First Class,FZ-54403,Amelia Moore,Consumer,United States,Miami,Ohio,46584,East,OFF-569974,Office Supplies,Appliances,Appliances Model 872,24.54,11,0.3,6.26
31,CA-2021-145895,10/09/2021,10/11/2021,Second Class,DG-96825,Sarah Young,Consumer,United States,Philadelphia,New York,96985,East,FUR-624136,Furniture,Tables,Tables Model 416,120.82,8,0.0,-2.98
32,CA-2024-125183,04/21/2024,04/26/2024,Standard Class,IV-66584,Harper Evans,Consumer,United States,Los Angeles,California,81922,West,FUR-677193,Furniture,Chairs,Chairs Model 327,10.63,13,0.2,1.03
33,CA-2022-117279,03/10/2022,03/12/2022,Standard Class,UL-20374,James Phillips,Home Office,United States,Detroit,Virginia,33161,South,FUR-689039,Furniture,Chairs,Chairs Model 461,117.15,12,0.3,41.78
34,CA-2021-107889,03/28/2021,03/30/2021,Standard Class,MY-99903,Joseph Lewis,Home Office,United States,Detroit,Washington,77290,West,OFF-746497,Office Supplies,Art,Art Model 950,25.86,4,0.0,0.22
35,CA-2022-170550,08/08/2022,08/13/2022,Standard Class,KD-29319,Emma Williams,Home Office,United States,Richmond,New York,87361,East,FUR-867253,Furniture,Furnishings,Furnishings Model 793,835.52,9,0.0,-23.54
36,CA-2024-197629,06/24/2024,06/27/2024,Second Class,JZ-57718,Isabella Evans,Consumer,United States,Los Angeles,Michigan,73989,Central,OFF-287112,Office Supplies,Fasteners,Fasteners Model 334,21.28,1,0.0,5.8
37,CA-2024-164691,06/28/2024,07/02/2024,Second Class,MV-25980,Joseph Campbell,Consumer,United States,Columbus,New York,66468,East,TEC-182799,Technology,Accessories,Accessories Model 657,64.44,2,0.2,-0.18
38,CA-2024-160263,10/15/2024,10/19/2024,Standard Class,HT-45445,Olivia Lopez,Corporate,United States,New York City,Virginia,78939,South,OFF-824511,Office Supplies,Art,Art Model 837,8.97,7,0.0,1.16
39,CA-2023-102824,09/26/2023,09/30/2023,Standard Class,PV-76700,Ella Miller,Consumer,United States,Seattle,Pennsylvania,58505,East,FUR-160793,Furniture,Furnishings,Furnishings Model 421,25.02,10,0.0,6.4
40,CA-2024-101725,04/10/2024,04/14/2024,Standard Class,NB-87045,Theodore Walker,Consumer,United States,Detroit,Washington,30829,West,OFF-469932,Office Supplies,Appliances,Appliances Model 921,18.93,9,0.0,2.7
41,CA-2024-149911,02/03/2024,02/05/2024,Standard Class,CB-29388,Mason Mitchell,Consumer,United States,Philadelphia,Texas,53795,Central,OFF-652878,Office Supplies,Fasteners,Fasteners Model 940,10.64,3,0.2,3.73
42,CA-2021-151998,01/29/2021,01/31/2021,Standard Class,HU-60197,Patricia Harris,Corporate,United States,San Francisco,California,61249,West,FUR-144262,Furniture,Furnishings,Furnishings Model 303,29.0,11,0.2,9.83
43,CA-2022-142565,09/03/2022,09/07/2022,Second Class,YD-97985,Harper Johnson,Corporate,United States,Seattle,Washington,78512,West,OFF-976845,Office Supplies,Supplies,Supplies Model 641,9.8,9,0.0,1.48
44,CA-2023-193603,02/08/2023,02/13/2023,Standard Class,MP-11587,Noah Harris,Corporate,United States,Seattle,Pennsylvania,79743,East,OFF-934927,Office Supplies,Art,Art Model 306,16.37,11,0.2,6.23
45,CA-2022-133001,11/09/2022,11/15/2022,Standard Class,SN-77358,Mia Robinson,Consumer,United States,Los Angeles,Washington,21820,West,TEC-854175,Technology,Copiers,Copiers Model 703,191.66,9,0.0,8.79
46,CA-2024-198441,04/25/2024,04/28/2024,Standard Class,XF-95347,Lucas Campbell,Corporate,United States,San Francisco,Washington,18898,West,TEC-724098,Technology,Accessories,Accessories Model 170,219.19,13,0.0,3.71
47,CA-2024-126350,12/04/2024,12/06/2024,Standard Class,MI-73638,Thomas Mitchell,Consumer,United States,Detroit,Ohio,24307,East,OFF-813988,Office Supplies,Storage,Storage Model 676,3.64,6,0.0,0.86
48,CA-2023-132570,03/07/2023,03/12/2023,Standard Class,AR-92092,Charlotte Scott,Consumer,United States,Los Angeles,California,32236,West,OFF-606298,Office Supplies,Labels,Labels Model 406,38.18,1,0.2,7.12
49,CA-2021-129926,05/21/2021,05/28/2021,Standard Class,FO-80602,Sebastian Lee,Corporate,United States,San Francisco,Pennsylvania,34961,East,OFF-776211,Office Supplies,Supplies,Supplies Model 559,8.69,9,0.2,0.22
50,CA-2022-178190,06/10/2022,06/13/2022,Standard Class,PY-83355,Amelia Evans,Corporate,United States,Columbus,Michigan,54174,Central,TEC-136192,Technology,Accessories,Accessories Model 549,1840.74,14,0.0,157.5
51,CA-2021-133104,10/16/2021,10/18/2021,Standard Class,HK-70382,Charlotte Taylor,Consumer,United States,San Francisco,Virginia,74285,South,OFF-286928,Office Supplies,Paper,Paper Model 993,21.73,2,0.0,0.36
52,CA-2022-145869,11/19/2022,11/23/2022,Standard Class,KK-86632,Jack Jackson,Corporate,United States,Columbus,Illinois,47276,Central,OFF-112578,Office Supplies,Appliances,Appliances Model 177,25.18,14,0.0,0.47
53,CA-2021-111149,12/08/2021,12/13/2021,Second Class,CM-44106,Mary Roberts,Corporate,United States,Philadelphia,Pennsylvania,50564,East,FUR-210478,Furniture,Bookcases,Bookcases Model 623,64.89,11,0.0,5.44
54,CA-2021-139800,04/28/2021,05/03/2021,Standard Class,TZ-91452,Karen Collins,Corporate,United States,New York City,Washington,92283,West,OFF-608350,Office Supplies,Envelopes,Envelopes Model 231,61.42,1,0.0,22.24
55,CA-2021-119996,09/08/2021,09/10/2021,Standard Class,JK-21044,Sophia Mitchell,Home Office,United States,Richmond,Florida,77688,South,OFF-786239,Office Supplies,Envelopes,Envelopes Model 683,9.52,8,0.0,3.02
56,CA-2022-175818,12/26/2022,12/31/2022,Second Class,XH-39465,James Green,Corporate,United States,Miami,Pennsylvania,77557,East,OFF-890907,Office Supplies,Envelopes,Envelopes Model 479,11.03,5,0.0,1.72
57,CA-2021-181282,07/26/2021,07/30/2021,Second Class,JY-99292,Ava Parker,Corporate,United States,Philadelphia,Virginia,77528,South,FUR-243651,Furniture,Bookcases,Bookcases Model 249,98.01,10,0.0,13.61
58,CA-2021-126996,02/10/2021,02/12/2021,Standard Class,HQ-31080,Owen Miller,Consumer,United States,Los Angeles,California,13674,West,OFF-682713,Office Supplies,Fasteners,Fasteners Model 261,447.3,11,0.0,-37.69
59,CA-2022-198810,02/14/2022,02/21/2022,Standard Class,LS-55303,Aiden King,Consumer,United States,Seattle,Ohio,76007,East,FUR-769862,Furniture,Chairs,Chairs Model 211,102.03,6,0.0,13.38
60,CA-2023-142637,07/30/2023,08/04/2023,Standard Class,XN-79132,Mary Lee,Home Office,United States,Miami,Illinois,51877,Central,OFF-104987,Office Supplies,Supplies,Supplies Model 795,96.01,7,0.1,20.34
61,CA-2023-183480,07/10/2023,07/13/2023,Standard Class,MT-84062,Jackson Young,Home Office,United States,Columbus,Washington,66742,West,OFF-394159,Office Supplies,Storage,Storage Model 920,19.45,1,0.0,5.63
62,CA-2022-124652,07/25/2022,07/31/2022,Standard Class,ZI-60169,Lucas Thomas,Corporate,United States,Miami,Washington,78629,West,OFF-674216,Office Supplies,Envelopes,Envelopes Model 389,9.0,1,0.2,0.7
63,CA-2023-185898,08/27/2023,09/02/2023,Standard Class,SX-19120,Jackson Lewis,Corporate,United States,Chicago,New York,14587,East,OFF-222314,Office Supplies,Paper,Paper Model 443,33.84,11,0.0,12.17
64,CA-2021-114263,10/07/2021,10/10/2021,Standard Class,AC-21893,Linda Taylor,Corporate,United States,Richmond,Pennsylvania,70210,East,OFF-413747,Office Supplies,Labels,Labels Model 141,23.89,5,0.0,7.65
65,CA-2023-136174,11/21/2023,11/28/2023,Second Class,HH-19273,Sebastian Wright,Corporate,United States,New York City,Pennsylvania,89498,East,FUR-512594,Furniture,Chairs,Chairs Model 250,309.27,13,0.0,-18.21
66,CA-2021-137929,01/26/2021,01/31/2021,Standard Class,YV-27723,Mary Parker,Consumer,United States,Detroit,Ohio,58388,East,OFF-209827,Office Supplies,Supplies,Supplies Model 238,74.77,9,0.0,26.28
67,CA-2021-118624,07/17/2021,07/20/2021,Standard Class,KJ-86242,Mary Williams,Consumer,United States,Richmond,Illinois,69155,Central,OFF-160521,Office Supplies,Labels,Labels Model 951,14.68,6,0.2,0.17
68,CA-2024-195921,09/08/2024,09/12/2024,Second Class,AW-17036,Charles Evans,Corporate,United States,Detroit,Washington,17667,West,OFF-830399,Office Supplies,Fasteners,Fasteners Model 376,7.85,13,0.0,2.84
69,CA-2022-129379,11/15/2022,11/18/2022,Second Class,NP-28895,Mason Wright,Corporate,United States,Philadelphia,Illinois,77887,Central,OFF-178879,Office Supplies,Labels,Labels Model 804,10.0,1,0.0,2.15
70,CA-2023-141887,03/24/2023,03/31/2023,Standard Class,CL-90927,Logan Smith,Corporate,United States,Richmond,Illinois,92361,Central,FUR-618805,Furniture,Tables,Tables Model 231,411.25,12,0.0,43.58
71,CA-2022-101669,08/04/2022,08/07/2022,Second Class,OX-41457,Abigail Hall,Home Office,United States,Richmond,California,41845,West,TEC-475529,Technology,Machines,Machines Model 260,237.24,2,0.0,28.05
72,CA-2023-168321,08/03/2023,08/07/2023,Standard Class,QW-45665,Mary Miller,Home Office,United States,Detroit,Michigan,47358,Central,OFF-751805,Office Supplies,Fasteners,Fasteners Model 293,22.91,14,0.3,4.16
73,CA-2023-117954,12/29/2023,12/31/2023,Standard Class,ZX-63741,Jackson Mitchell,Corporate,United States,San Francisco,Michigan,56582,Central,OFF-905241,Office Supplies,Art,Art Model 272,5.28,8,0.5,1.7
74,CA-2024-128506,02/12/2024,02/19/2024,First Class,ME-27155,Susan Hernandez,Home Office,United States,Miami,Pennsylvania,23061,East,OFF-248559,Office Supplies,Labels,Labels Model 285,9.36,7,0.0,2.98
75,CA-2021-191708,12/30/2021,01/02/2022,Standard Class,WI-93106,Scarlett Williams,Corporate,United States,Detroit,Florida,18154,South,OFF-950078,Office Supplies,Envelopes,Envelopes Model 359,32.59,10,0.0,3.5
76,CA-2023-186534,07/04/2023,07/09/2023,Standard Class,JG-62182,Joseph Roberts,Corporate,United States,New York City,Pennsylvania,17595,East,TEC-204513,Technology,Phones,Phones Model 476,175.04,12,0.0,56.8
77,CA-2024-111474,02/20/2024,02/24/2024,Standard Class,HK-51785,Amelia Walker,Consumer,United States,Philadelphia,California,24305,West,FUR-891944,Furniture,Tables,Tables Model 265,47.0,4,0.0,6.39
78,CA-2022-162489,08/27/2022,09/01/2022,Standard Class,VV-66385,Robert Allen,Home Office,United States,Miami,Michigan,80630,Central,FUR-563058,Furniture,Bookcases,Bookcases Model 571,109.48,2,0.0,11.91
79,CA-2022-174733,07/12/2022,07/17/2022,Standard Class,YG-68890,Ryan Perez,Consumer,United States,Detroit,Texas,66659,Central,OFF-141230,Office Supplies,Supplies,Supplies Model 427,42.47,14,0.0,0.92
80,CA-2023-195044,07/06/2023,07/09/2023,Standard Class,KK-75091,Robert Hall,Corporate,United States,Columbus,Pennsylvania,65146,East,OFF-575081,Office Supplies,Supplies,Supplies Model 659,18.82,8,0.0,5.91
81,CA-2023-124087,04/18/2023,04/22/2023,Second Class,IG-53028,Theodore Carter,Consumer,United States,Chicago,Illinois,16779,Central,OFF-888696,Office Supplies,Supplies,Supplies Model 623,20.31,5,0.0,4.27
82,CA-2022-132594,01/04/2022,01/09/2022,Standard Class,CO-74002,Jack Young,Corporate,United States,Richmond,Washington,32653,West,OFF-623847,Office Supplies,Fasteners,Fasteners Model 917,5.04,13,0.0,0.58
83,CA-2024-123689,10/30/2024,11/02/2024,Second Class,DK-35005,Linda Johnson,Consumer,United States,San Francisco,Texas,94231,Central,OFF-187257,Office Supplies,Binders,Binders Model 657,28.34,1,0.1,6.55
84,CA-2023-153802,03/31/2023,04/02/2023,Standard Class,DD-53151,Avery Evans,Corporate,United States,Miami,Michigan,57972,Central,TEC-769809,Technology,Machines,Machines Model 718,58.38,12,0.3,19.29
85,CA-2023-160318,04/05/2023,04/08/2023,First Class,OO-15909,Sarah Evans,Home Office,United States,Richmond,Pennsylvania,17247,East,FUR-860368,Furniture,Tables,Tables Model 853,72.54,1,0.0,-0.08
86,CA-2021-119104,10/28/2021,11/01/2021,Standard Class,AD-81200,Thomas Hernandez,Consumer,United States,Philadelphia,Illinois,95181,Central,FUR-697237,Furniture,Chairs,Chairs Model 278,30.44,10,0.2,2.93
87,CA-2023-102268,09/14/2023,09/17/2023,Second Class,QM-12793,Sarah Wright,Consumer,United States,Los Angeles,Ohio,60912,East,OFF-468661,Office Supplies,Supplies,Supplies Model 884,38.97,1,0.0,3.51
88,CA-2024-113588,09/01/2024,09/04/2024,Standard Class,AK-87559,Richard Miller,Home Office,United States,New York City,Virginia,54379,South,OFF-708629,Office Supplies,Binders,Binders Model 503,28.32,3,0.0,-1.76
89,CA-2023-120869,11/27/2023,12/03/2023,Standard Class,CP-61502,Theodore Moore,Consumer,United States,Columbus,Washington,63686,West,TEC-401982,Technology,Phones,Phones Model 695,37.33,5,0.1,2.5
90,CA-2023-158535,01/14/2023,01/20/2023,Standard Class,ZH-35309,John Allen,Corporate,United States,Philadelphia,Washington,45156,West,OFF-257498,Office Supplies,Appliances,Appliances Model 755,273.93,3,0.0,76.95
91,CA-2023-120037,07/19/2023,07/26/2023,Standard Class,PK-25446,Charles Thompson,Corporate,United States,Miami,Virginia,71630,South,TEC-870130,Technology,Phones,Phones Model 292,162.3,1,0.3,4.33
92,CA-2021-180340,12/08/2021,12/14/2021,Standard Class,RY-92257,Charles Edwards,Corporate,United States,Seattle,Washington,37705,West,OFF-476296,Office Supplies,Supplies,Supplies Model 599,2.15,10,0.4,0.66
93,CA-2021-164221,03/30/2021,04/03/2021,First Class,CU-73039,Liam Brown,Consumer,United States,Detroit,Texas,41896,Central,TEC-787657,Technology,Machines,Machines Model 356,444.33,11,0.0,167.79
94,CA-2023-119979,07/23/2023,07/30/2023,Second Class,QM-81595,Jessica Green,Corporate,United States,Columbus,California,26404,West,FUR-639979,Furniture,Furnishings,Furnishings Model 252,71.65,5,0.0,0.86
95,CA-2021-199050,09/23/2021,09/30/2021,Second Class,OC-21654,Madison Allen,Home Office,United States,Chicago,Pennsylvania,27626,East,OFF-893037,Office Supplies,Envelopes,Envelopes Model 891,4.84,10,0.0,0.51
96,CA-2021-170290,05/12/2021,05/15/2021,Second Class,SK-62075,Jack Phillips,Consumer,United States,Philadelphia,New York,91930,East,OFF-566779,Office Supplies,Storage,Storage Model 807,126.58,5,0.3,-4.35
97,CA-2024-187000,02/06/2024,02/09/2024,Standard Class,UH-90345,Madison Mitchell,Corporate,United States,San Francisco,Pennsylvania,28121,East,OFF-374905,Office Supplies,Art,Art Model 266,145.68,4,0.0,35.85
98,CA-2022-167154,09/26/2022,10/03/2022,Standard Class,GL-35944,Elizabeth Phillips,Consumer,United States,Philadelphia,Illinois,25452,Central,FUR-373810,Furniture,Chairs,Chairs Model 276,33.45,12,0.2,4.72
99,CA-2024-166025,05/30/2024,06/06/2024,Second Class,SD-40044,Ryan Carter,Home Office,United States,Los Angeles,Illinois,52833,Central,OFF-568372,Office Supplies,Art,Art Model 177,13.48,8,0.0,2.62
100,CA-2024-148254,06/18/2024,06/25/2024,Second Class,HS-16412,Liam Anderson,Consumer,United States,San Francisco,New York,14915,East,OFF-949841,Office Supplies,Binders,Binders Model 409,34.98,1,0.1,10.12
101,CA-2021-165605,06/29/2021,07/03/2021,Second Class,QR-75398,Thomas Gonzalez,Consumer,United States,Richmond,Washington,46921,West,OFF-270425,Office Supplies,Fasteners,Fasteners Model 317,13.66,10,0.0,3.94
102,CA-2024-176690,01/27/2024,02/03/2024,First Class,NQ-21491,Sofia Scott,Consumer,United States,Detroit,Washington,22845,West,OFF-226172,Office Supplies,Envelopes,Envelopes Model 759,23.15,6,0.2,3.66
103,CA-2022-198630,05/04/2022,05/10/2022,Standard Class,OS-32285,Jayden Collins,Home Office,United States,Philadelphia,California,33217,West,OFF-332905,Office Supplies,Envelopes,Envelopes Model 463,12.98,2,0.2,4.43
104,CA-2023-159390,10/25/2023,10/31/2023,Standard Class,EH-54539,Thomas Turner,Corporate,United States,San Francisco,Texas,26424,Central,TEC-977168,Technology,Accessories,Accessories Model 971,175.45,4,0.0,64.21
105,CA-2021-175372,03/06/2021,03/11/2021,Standard Class,BX-68746,David Wright,Consumer,United States,Miami,Florida,87950,South,OFF-652065,Office Supplies,Envelopes,Envelopes Model 603,8.13,5,0.0,1.75
106,CA-2022-194649,11/19/2022,11/22/2022,Standard Class,TW-62571,Aiden Garcia,Consumer,United States,Los Angeles,California,48233,West,OFF-803855,Office Supplies,Fasteners,Fasteners Model 900,75.71,1,0.0,-6.12
107,CA-2023-161042,07/07/2023,07/13/2023,Second Class,UP-79401,Ava Gonzalez,Home Office,United States,Miami,Pennsylvania,10176,East,TEC-609838,Technology,Accessories,Accessories Model 186,1231.15,11,0.1,354.55
108,CA-2022-176369,10/15/2022,10/22/2022,First Class,BV-48430,Ella Wright,Consumer,United States,Chicago,Washington,91866,West,OFF-636559,Office Supplies,Supplies,Supplies Model 971,23.97,4,0.2,8.29
109,CA-2023-118887,03/17/2023,03/24/2023,Standard Class,MH-46061,Noah Nelson,Corporate,United States,Miami,New York,99824,East,OFF-664810,Office Supplies,Supplies,Supplies Model 392,31.94,3,0.0,5.7
110,CA-2021-188658,01/17/2021,01/22/2021,Standard Class,MJ-95627,Mary Hernandez,Corporate,United States,Los Angeles,Ohio,22133,East,OFF-214724,Office Supplies,Storage,Storage Model 456,43.49,3,0.3,10.88
111,CA-2021-197896,01/11/2021,01/13/2021,Standard Class,NU-96135,Charles Clark,Corporate,United States,Richmond,Florida,18971,South,TEC-666603,Technology,Accessories,Accessories Model 636,146.56,11,0.0,11.43
112,CA-2023-136136,05/27/2023,06/02/2023,Second Class,PI-73421,Logan Perez,Corporate,United States,Columbus,Pennsylvania,23155,East,FUR-607516,Furniture,Chairs,Chairs Model 491,56.03,8,0.3,8.46
113,CA-2022-188744,08/31/2022,09/03/2022,Standard Class,AS-10794,Owen Perez,Home Office,United States,New York City,Texas,34345,Central,OFF-841763,Office Supplies,Storage,Storage Model 382,6.21,12,0.3,1.86
114,CA-2023-181099,04/23/2023,04/26/2023,Standard Class,LH-87971,Charles Taylor,Consumer,United States,Detroit,Florida,49359,South,FUR-179145,Furniture,Chairs,Chairs Model 246,539.02,7,0.1,182.18
115,CA-2022-123297,06/09/2022,06/11/2022,Standard Class,QQ-68949,Avery Thomas,Consumer,United States,Los Angeles,Texas,81399,Central,OFF-557546,Office Supplies,Binders,Binders Model 476,17.72,10,0.4,-0.75
116,CA-2021-199201,01/08/2021,01/10/2021,Standard Class,TE-10994,Robert White,Consumer,United States,New York City,New York,91338,East,OFF-938733,Office Supplies,Labels,Labels Model 524,10.79,7,0.0,-0.99
117,CA-2023-158464,10/20/2023,10/24/2023,First Class,YN-70280,Elizabeth Wright,Consumer,United States,Miami,California,87229,West,TEC-835105,Technology,Accessories,Accessories Model 216,786.5,9,0.2,68.27
118,CA-2021-116346,07/20/2021,07/23/2021,Standard Class,JW-14986,Avery King,Corporate,United States,Detroit,California,93441,West,OFF-357044,Office Supplies,Labels,Labels Model 801,359.67,13,0.0,34.33
119,CA-2024-110808,02/21/2024,02/25/2024,Standard Class,LQ-51704,John Adams,Corporate,United States,Los Angeles,Michigan,14913,Central,FUR-755859,Furniture,Chairs,Chairs Model 260,380.36,9,0.0,109.04
120,CA-2021-151117,01/19/2021,01/24/2021,Second Class,YA-75947,Scarlett Perez,Home Office,United States,Columbus,Virginia,95573,South,OFF-459563,Office Supplies,Paper,Paper Model 161,46.5,7,0.1,-4.45
121,CA-2024-152062,09/18/2024,09/23/2024,Standard Class,WC-67694,Jayden Campbell,Home Office,United States,Detroit,Illinois,68910,Central,TEC-813778,Technology,Machines,Machines Model 389,216.13,13,0.3,60.95
122,CA-2022-186232,01/05/2022,01/09/2022,Standard Class,BQ-41052,Patricia Garcia,Consumer,United States,Los Angeles,Virginia,21418,South,OFF-673095,Office Supplies,Fasteners,Fasteners Model 386,14.57,9,0.4,2.45
123,CA-2024-151044,07/27/2024,07/31/2024,Standard Class,VG-43651,Harper Walker,Corporate,United States,Los Angeles,Florida,99413,South,FUR-533739,Furniture,Furnishings,Furnishings Model 368,168.39,14,0.1,41.91
124,CA-2021-139662,01/06/2021,01/13/2021,Second Class,AT-13606,Charles Taylor,Corporate,United States,Philadelphia,Washington,73497,West,OFF-116870,Office Supplies,Appliances,Appliances Model 932,6.44,10,0.3,1.0
125,CA-2022-131668,10/20/2022,10/23/2022,Standard Class,RI-94617,Emily Walker,Home Office,United States,Philadelphia,Florida,77712,South,OFF-784828,Office Supplies,Supplies,Supplies Model 636,167.5,10,0.2,49.47
126,CA-2022-150822,09/02/2022,09/04/2022,Second Class,DQ-27519,Sebastian Phillips,Consumer,United States,Philadelphia,Washington,68262,West,FUR-587744,Furniture,Bookcases,Bookcases Model 264,487.9,8,0.2,57.83
127,CA-2021-126600,08/28/2021,09/03/2021,First Class,BW-89427,Robert Phillips,Corporate,United States,Miami,Virginia,80511,South,OFF-579553,Office Supplies,Supplies,Supplies Model 565,34.83,12,0.0,2.54
